station_id,station_name,station_address,station_position,station_externalid,url
43773,11110 - SQUARE ROQUETTE,176 RUE DE LA ROQUETTE - 75011 PARIS,"(48.8592429763213,2.38659328921)",11110,http://velibs.github.io/data/png/43773.png
42916,01005 - LES HALLES - SEBASTOPOL,3 RUE DE LA COSSONNERIE - 75001 PARIS,"(48.8612620697647,2.34939999975017)",1005,http://velibs.github.io/data/png/42916.png
42928,13107 - MARCHAND SANTE,12 PASSAGE VICTOR MARCHAND - 75013 PARIS,"(48.8288402183865,2.34196743682721)",13107,http://velibs.github.io/data/png/42928.png
42926,19010 - PORTE DE LA VILLETTE,RUE EMILE REYNAUD SUR TPC - 75019 PARIS,"(48.9011641133776,2.38859073386923)",19010,http://velibs.github.io/data/png/42926.png
43063,18015 - CUSTINE,23 RUE CUSTINE - 75018 PARIS,"(48.8886197164506,2.34701133583386)",18015,http://velibs.github.io/data/png/43063.png
43116,07010 - INVALIDES,FACE 3 RUE DE CONSTANTINE - 75007 PARIS,"(48.8607699579973,2.31483827949527)",7010,http://velibs.github.io/data/png/43116.png
41378,17033 - CARNOT,8 AVENUE CARNOT - 75017 PARIS,"(48.8755384211021,2.29373210016993)",17033,http://velibs.github.io/data/png/41378.png
42436,03006 - MAIRIE DU 3EME,10 RUE PERREE - 75003 PARIS,"(48.8645308053075,2.36157981521499)",3006,http://velibs.github.io/data/png/42436.png
42724,16003 - ANDRE MAUROIS,2 BIS BOULEVARD ANDRE MAUROIS - 75016 PARIS,"(48.8779308171611,2.27895982496994)",16003,http://velibs.github.io/data/png/42724.png
43870,12039 - DECAEN,45 AVENUE DU GENERAL MICHEL BIZOT - 75012 PARIS,"(48.8348126298254,2.4009277881277)",12039,http://velibs.github.io/data/png/43870.png
43115,07025 - SUFFREN TOUR EIFFEL,2 AVENUE OCTAVE CREARD - 75007 PARIS,"(48.8565029776956,2.29317875432888)",7025,http://velibs.github.io/data/png/43115.png
42562,21704 - REPUBLIQUE (VANVES),2 RUE DE LA REPUBLIQUE - 92170 VANVES,"(48.8217026998931,2.28539562482839)",21704,http://velibs.github.io/data/png/42562.png
43868,22001 - CHATEAU (NEUILLY),26 BOULEVARD DU CHATEAU - 92200 NEUILLY,"(48.8905119134767,2.27016722527317)",22001,http://velibs.github.io/data/png/43868.png
41438,19106 - GARE EMGP,15 RUE MADELEINE VIONNET - 75019 PARIS,"(48.9017738517242,2.37262829364575)",19106,http://velibs.github.io/data/png/41438.png
40875,18036 - FRANCIS DE CROISSET,7 RUE FRANCIS DE CROISSET - 75018 PARIS,"(48.8994106815163,2.34592013331492)",18036,http://velibs.github.io/data/png/40875.png
42877,19110 - MACDONALD DUCHESNE,1 RUE JACQUES DUCHESNE - 75019 PARIS,"(48.8990916725109,2.37403320974087)",19110,http://velibs.github.io/data/png/42877.png
